hide;lat;lon;status;closed;name;addr;town;posttown;county;postcode;prev;img;url;gsv
;;;limbo;2015;Angel;1a Woodhatch Road;Woodhatch;Reigate;Surrey;RH2 7LJ;;https://whatpub.com/img/REI/321/angel-reigate/200/150;https://whatpub.com/pubs/REI/321/angel-reigate;
;51.2332485334;-0.2287159874;open;;Skimmington Castle;Bonny's Road;Reigate Heath;Reigate;Surrey;RH2 8RL;;https://whatpub.com/img/REI/347/skimmington-castle-reigate-heath/298/224/1;https://whatpub.com/pubs/REI/347/skimmington-castle-reigate-heath;
;51.2105381887;-0.257662387;open;;Seven Stars;Bunce Common Road;Dawes Green;Reigate;Surrey;RH2 8NP;;https://whatpub.com/img/REI/232/seven-stars-leigh/298/224/1;https://whatpub.com/pubs/REI/232/seven-stars-leigh;https://www.google.co.uk/maps/@51.2106753,-0.2571546,3a,21.5y,245.76h,93.05t/data=!3m6!1e1!3m4!1s3apROMigXd81Ie62nRmC3w!2e0!7i13312!8i6656
;51.2082865344;-0.2498960508;open;;Plough;Church Road;Leigh;Reigate;Surrey;RH2 8NJ;;https://whatpub.com/img/REI/231/plough-leigh/298/224/1;https://whatpub.com/pubs/REI/231/plough-leigh;https://www.google.co.uk/maps/@51.208087,-0.2498295,3a,54.4y,2.53h,87.85t/data=!3m6!1e1!3m4!1s1l5ONBdYVTTD6KnDbpMWtg!2e0!7i13312!8i6656
;51.2018418269;-0.2129727629;open;;Three Horseshoes;Ironsbottom;Sidlow Bridge;Reigate;Surrey;RH2 8PT;;https://whatpub.com/img/REI/354/three-horseshoes-inn-sidlow-bridge/298/224/1;https://whatpub.com/pubs/REI/354/three-horseshoes-inn-sidlow-bridge;https://www.google.co.uk/maps/@51.2017891,-0.2131196,3a,75y,83.04h,85.33t/data=!3m6!1e1!3m4!1sxDLT0tCXVwNKhpHlbw8iSA!2e0!7i13312!8i6656
;;;;;;;;;;;;;;
;51.2330773047;-0.2868419276;open;;Royal Oak;Brockham Green ;Brockham;Betchworth;Surrey;RH3 7JS ;;https://whatpub.com/img/REI/33/royal-oak-brockham/298/224/1;https://whatpub.com/pubs/REI/33/royal-oak-brockham;https://www.google.co.uk/maps/@51.2326856,-0.2868236,3a,24.9y,1.79h,90.94t/data=!3m6!1e1!3m4!1sru_fKplVfEscuvWnKykkvg!2e0!7i13312!8i6656
;51.2329315166;-0.2856125811;open;;Inn on the Green;Brockham Green ;Brockham;Betchworth;Surrey;RH3 7JS ;Duke’s Head;https://whatpub.com/img/REI/32/inn-on-the-green-brockham/298/224/1;https://whatpub.com/pubs/REI/32/inn-on-the-green-brockham;https://www.google.co.uk/maps/@51.2328044,-0.2857513,3a,60y,38.15h,90t/data=!3m6!1e1!3m4!1sXHevOwoV5Fsv0NDe6IzsLQ!2e0!7i13312!8i6656
;51.2400349427;-0.2836232759;open;;Arkle Manor;Reigate Road;;Betchworth;Surrey;RH3 7HB ;Barley Mow ;https://whatpub.com/img/REI/17/arkle-manor-betchworth/298/224/1;https://whatpub.com/pubs/REI/17/arkle-manor-betchworth;https://www.google.co.uk/maps/@51.2403434,-0.2841571,3a,45.1y,139.22h,94.04t/data=!3m7!1e1!3m5!1sVSEmBxP41mav_SwGFlBxHA!2e0!6s%2F%2Fgeo1.ggpht.com%2Fcbk%3Fpanoid%3DVSEmBxP41mav_SwGFlBxHA%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D261.54428%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656
;51.2336482461;-0.2661448744;open;;Dolphin;The Street;;Betchworth;Surrey;RH3 7DW;;https://whatpub.com/img/REI/18/dolphin-inn-betchworth/298/224/1;https://whatpub.com/pubs/REI/18/dolphin-inn-betchworth;https://www.google.co.uk/maps/@51.2336845,-0.2664156,3a,75y,101.86h,94.88t/data=!3m6!1e1!3m4!1sLHSEOdUgHkksWC63Ydyszw!2e0!7i13312!8i6656
