art_name;trk_name;trk_info;alb_name;alb_fmt;alb_year;xtra
Screen Gems (June 2010);All these tracks have appeared in films. See if you recognize them. I should mention that the tracks here were chosen for their musical interest, not the associated film’s merit.
TV On the Radio;Satellite;;Young Liars;EP;2003;<i>The Manchurian Candidate</i> (2004)
Moby;Extreme Ways;;18;;2002;<i>The Bourne Trilogy</i> (2002-2007)
Nine Inch Nails;Dead Souls;Ian Curtis Tribute;Dead Souls;Unofficial LP;1996;<i>The Crow</i> (1994)
The Polyphonic Spree;Light & Day / Reach for the Sun;;The Beginning Stages of...;;2002;<i>Eternal Sunshine of the Spotless Mind</i> (2004)
Zero 7;Look Up;;When It Falls;;2004;<i>Red Eye</i> (2005)
Cocteau Twins;Seekers Who Are Lovers;;Milk & Kisses;;1996;<i>Nowhere</i> (1997)
Do Make Say Think;Le’espalace;;Do Make Say Think;;1998;<i>Everything’s Gone Green</i> (2006)
I Am Kloot;The Same Deep Water As Me;;I Am Kloot;;2003;<i>Snow Cake</i> (2006)
Björk;Human Behaviour;;Debut;;1993;<i>Boy Wonder</i> (2010)
The Flaming Lips;Do You Realize;;Yoshimi Battles the Pink Robots;;2002;<i>How to Deal</i> (2003)<br><i>50 First Dates</i> (2004)
Goldfrapp;Utopia;;Felt Mountain;;2001;<i>Trollywood (2004)
The Stone Roses;I Wanna Be Adored;;The Stone Roses;;1989;<i>Boston Kickout</i> (1995)<br><i>Welcome to Sarajevo</i> (1997)<br><i>Green Street</i> (2005)<br><i>The Man Who Loved Yngve</i> (2008)
Public Image Ltd.;Public Image;;Public Image;;1978;<i>Basquiat</i> (1996)
Doves;Firesuite;;Lost Souls;;2000;<i>When I Was 12</i> (2001)<br><i>Disco Pigs</i> (2001)<br><i>Blue Crush</i> (2002)<br><i>Octane</i> (2003)<br><i>Riding Giants</i> (2004)<br><i>Going the Distance</i> (2004)
The Album Leaf;Shine;;Into the Blue Again;;2006;<i>Helvetica</i> (2007)
Massive Attack;Angel;;Mezzanine;;1998;<i>Pi</i> (1998)<br><i>Go</i> (1999)<br><i>Best Laid Plans</i> (1999)<br><i>Snatch</i> (2000)<br><i>Antitrust</i> (2001)<br><i>Flight of the Phoenix</i> (2004)<br><i>Stay</i> (2005)<br><i>Firewall</i> (2006)
Elbow;Any Day Now;;Asleep in the Back;;2002;<i>Searching for Debra Winger</i> (2002)
Mercury Rev;Holes;;Deserter’s Songs;;1998;<i>Panic</i> (2000)<br><i>Le secret</i> (2000)<br><i>Pumpkin</i> (2002)
Elvis Costello;Shipbuilding;;Punch the Clock;;1983;<i>High Fidelity</i> (2000)
Barry Adamson;The Sweetest Embrace;;Oedipus Schmoedipus;;1996;<i>The Acid House</i> (1998)
Thievery Corporation + The Flaming Lips;Marching the Hate Machines (Into the Sun);;The Cosmic Game;;2005;<i>Disarm</i> (2005)
The Cinematic Orchestra;All Things to All Men;;Every Day;;2002;<i>Kidulthood</i> (2006)<br><i>In the Hands of the Gods</i> (2007)
Joni Mitchell;The Hissing of Summer Lawns;;The Hissing of Summer Lawns;;1975;<i>The Man Who Fell to Earth</i> (1976)
Portishead;Roads;;Dummy;;1994;<i>Tank Girl</i> (1995)<br><i>Cheaters (2000)<br><i>The Watcher</i> (2000)
The Jesus and Mary Chain;Snakedriver;;Sound of Speed;EP;1993;<i>The Crow</i> (1994)
Grandaddy;A.M. 180;;Under the Western Freeway;;1997;<i>28 Days Later...</i> (2002)<br><i>Ora o mai più</i> (2003)<br><i>FreeLance</i> (2007)
Harry Nilsson;The Moonbeam Song;;Nilsson Schmilsson;;1971;<i>High Fidelity</i> (2000)<br><i>Breakfast on Pluto</i> (2005)
Penguin Cafe Orchestra;Air;;Broadcasting from Home;;1984;<i>The Good Girl</i> (2002)
Radiohead;How to Disappear Completely;;Kid A;;2000;<i>Life as a House</i> (2001)
Slowdive;Blue Skied an’ Clear;;Pygmalion;;1995;<i>The Doom Generation</i> (1995)
Boards of Canada;Dayvan Cowboy;;The Campfire Headphase;;2005;<i>Reverb</i> (2008)
Tomoyasu Hotei;Battle Without Honor or Humanity;;Electric Samurai (The Noble Savage);;2004;<i>Kill Bill: Vol. 1</i> (2003)<br><i>Team America: World Police</i> (2004)<br><i>The Dictator</i> (2012)<br><i>Hotel for Dogs</i> (2009)<br><i>Les Dalton</i> (2004)<br><i>Transformers</i> (2007)<br><i>Made of Honour</i> (2008)
Primal Scream;Swastika Eyes;Chemical Brothers Remix;XTRMNTR;;2000;<i>Disco Pigs</i> (2001)
Passengers;Always Forever Now;;Original Soundtracks 1;;1995;<i>Heat</i> (1995)
Muse;Blackout;;Absolution;;2003;<i>Millions (2004)<br><i>Southland Tales</i> (2006)
Orbital;The Girl with the Sun in Her Head;;In Sides;;1996;<i>Dangerous Ground</i> (1997)
Sigur Rós;Hún Jörð ...;;Von;;1997;<i>One Point O</i> (2004)
The Verve;Star Sail;;A Storm in Heaven;;1993;<i>Sliver</i> (1993)
The Flamingos;I Only Have Eyes for You;;Flamingo Serenade;;1959;<i>American Graffiti</i> (1973)<br><i>Heart Like a Wheel</i> (1983)<br><i>The Right Stuff</i> (1983)<br><i>One Good Cop</i> (1991)<br><i>Heart and Souls</i> (1993)
Supertramp;Crime of the Century;;Crime of the Century;;1974;<i>Inside Deep Throat</i> (2005)
