_id;hide;kind;vague;lat;lon;status;closed;name;addr;town;posttown;county;postcode;prev;img;url;listed;gsv
;;;;;;;;;;;;;;;;;;
cr53-midday-sun;;;;51.316071;-0.164256;open;;Midday Sun;Outwood Lane ;Chipstead ;Coulsdon ;Surrey;CR5 3NA ;;https://whatpub.com/img/REI/61/midday-sun-chipstead/298/224/1;https://whatpub.com/pubs/REI/61/midday-sun-chipstead;;https://www.google.co.uk/maps/@51.3158186,-0.1641906,3a,75y,1.64h,91.9t/data=!3m6!1e1!3m4!1sPZzEk0oScqSPkv4goynY0g!2e0!7i13312!8i6656
cr53-ramblers-rest;;;;51.302747;-0.17483;open;;Rambler's Rest;Outwood Lane ;Chipstead ;Coulsdon ;Surrey;CR5 3NP ;;https://whatpub.com/img/REI/62/ramblers-rest-chipstead/298/224/1;https://whatpub.com/pubs/REI/62/ramblers-rest-chipstead;;https://www.google.co.uk/maps/@51.3028518,-0.174328,3a,75y,221.75h,96.14t/data=!3m6!1e1!3m4!1sRdCAF8dWWJG-NR79m7_L_A!2e0!7i13312!8i6656
cr53-white-hart;;;;51.297695;-0.168001;open;;White Hart;Hazelwood Lane ;Chipstead ;Coulsdon ;Surrey;CR5 3QW ;;https://whatpub.com/img/REI/63/white-hart-chipstead/298/224/1;https://whatpub.com/pubs/REI/63/white-hart-chipstead;;https://www.google.co.uk/maps/@51.2975767,-0.1679716,3a,75y,351.28h,95.17t/data=!3m7!1e1!3m5!1s1noa7eActfTzDKs_bNMBVg!2e0!6s%2F%2Fgeo3.ggpht.com%2Fcbk%3Fpanoid%3D1noa7eActfTzDKs_bNMBVg%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D189.52235%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656
cr53-well-house;;;;51.282589;-0.196995;open;;Well House;Chipstead Lane;Mugswell;Coulsdon ;Surrey;CR5 3SQ;;https://whatpub.com/img/REI/255/well-house-inn-mugswell/298/224/1;https://whatpub.com/pubs/REI/255/well-house-inn-mugswell;;https://www.google.co.uk/maps/@51.2827104,-0.1966105,3a,75y,226.92h,91.61t/data=!3m6!1e1!3m4!1sBQFzuKM_ttEkI8DXuX0VtQ!2e0!7i13312!8i6656
cr53-star;;;;51.295744;-0.152587;gone;1977;Star;Brighton Road ;Hooley ;Coulsdon ;Surrey;;;https://chipsteadvillage.org/open.php?filename=images/Star%20Inn%201905.jpg;https://whatpub.com/pubs/REI/197/star-hooley|https://chipsteadvillage.org/Have-Your-Say/Hooley-and-the-Star-Inn;;
;;;;;;;;;;;;;;;;;;
gu11-anchor-horseshoes;;;;51.254918;-0.548956;open;;Anchor & Horse Shoes;194 London Road ;Burpham ;Guildford;Surrey;GU1 1XR ;;https://whatpub.com/img/SHB/22/anchor-horseshoes-burpham/298/224/2015303;https://whatpub.com/pubs/SHB/22/anchor-horseshoes-burpham;;https://www.google.co.uk/maps/@51.2550943,-0.5491281,3a,26.1y,138.2h,92.45t/data=!3m6!1e1!3m4!1scyv0gEr4YTzOi5AoRTFg3Q!2e0!7i13312!8i6656
gu11-green-man;;;;51.2588;-0.54561;gone;2006;Green Man;93 London Road ;Burpham ;Guildford;Surrey;GU1 1YT ;;;https://whatpub.com/pubs/SHB/265/green-man-burpham;;https://www.google.co.uk/maps/@51.2584377,-0.5454568,3a,75y,314.07h,89.96t/data=!3m6!1e1!3m4!1sXLVTDgVEIKyl-4IFjsHukg!2e0!7i13312!8i6656
;;;;;;;;;;;;;;;;;;
